"time_ms,beat,piezo1,piezo2,piezo3,piezo4"
"1229,1,1"
"1235,0,0"
"1242,0,3"
"1248,0,0"
"1254,0,0"
"1262,0,2"
"1272,0,1"
"1283,0,1"
"1293,0,1"
"1304,0,1"
"1314,0,1"
"1325,0,0"
"1335,0,1"
"1345,0,1"
"1355,0,1"
"1367,0,1"
"1377,0,0"
"1387,0,1"
"1397,0,0"
"1408,0,1"
"1418,0,1"
"1428,0,1"
"1439,0,1"
"1449,0,1"
"1460,0,1"
"1470,0,1"
"1480,0,1"
"1490,0,1"
"1502,0,1"
"1512,0,1"
"1522,0,1"
"1532,0,1"
"1543,0,1"
"1553,0,1"
"1564,0,1"
"1574,0,1"
"1585,0,1"
"1595,0,1"
"1605,0,1"
"1615,0,1"
"1626,0,1"
"1637,0,1"
"1647,0,1"
"1657,0,1"
"1668,0,1"
"1678,0,1"
"1688,0,1"
"1699,0,1"
"1710,0,1"
"1720,0,1"
"1730,0,1"
"1740,0,1"
"1751,0,1"
"1761,0,1"
"1772,0,1"
"1782,0,1"
"1793,0,1"
"1803,0,1"
"1813,0,1"
"1823,0,1"
"1835,0,1"
"1845,0,1"
"1855,0,1"
"1865,0,1"
"1875,0,1"
"1886,0,1"
"1897,0,1"
"1907,0,1"
"1917,0,1"
"1928,0,1"
"1938,0,1"
"1948,0,1"
"1958,0,1"
"1970,0,1"
"1980,0,1"
"1990,0,1"
"2000,0,1"
"2011,0,1"
"2021,0,1"
"2032,0,1"
"2042,0,1"
"2053,0,1"
"2063,0,1"
"2073,0,1"
"2083,0,1"
"2094,0,1"
"2105,0,1"
"2115,0,1"
"2125,0,1"
"2136,1,1"
"2146,1,1"
"2156,1,1"
"2167,1,6"
"2178,1,1"
"2188,1,1"
"2198,1,5"
"2208,1,1"
"2219,1,1"
"2230,1,8"
"2240,1,1"
"2250,1,1"
"2260,1,8"
"2271,0,1"
"2281,0,1"
"2291,0,1"
"2302,0,1"
"2313,0,4"
"2323,0,0"
"2333,0,1"
"2343,0,1"
"2354,0,1"
"2365,0,2"
"2375,0,1"
"2385,0,0"
"2396,0,1"
"2406,0,1"
"2416,0,1"
"2426,0,1"
"2438,0,1"
"2448,0,1"
"2458,0,1"
"2468,0,1"
"2479,0,1"
"2489,0,1"
"2500,0,1"
"2510,0,1"
"2521,0,1"
